node_name,PSI_attribute,year,week_no,lot_id
ssupply_point,0,2025,25,
supply_point,0,2025,26,
supply_point,0,2025,27,SHA_N20260100
supply_point,0,2025,27,SHA_D20260100
supply_point,0,2025,27,SHA_I20260100
supply_point,0,2025,27,SHA_N20260200
supply_point,0,2025,27,SHA_D20260200
supply_point,0,2025,27,SHA_I20260200
supply_point,0,2025,28,SHA_N20260300
supply_point,0,2025,28,SHA_D20260300
supply_point,0,2025,28,SHA_I20260300
supply_point,0,2025,28,SHA_N20260400
supply_point,0,2025,28,SHA_D20260400
supply_point,0,2025,28,SHA_I20260400
supply_point,0,2025,29,SHA_N20260500
supply_point,0,2025,29,SHA_D20260500
supply_point,0,2025,29,SHA_I20260500
supply_point,0,2025,29,SHA_N20260600
supply_point,0,2025,29,SHA_N20260601
supply_point,0,2025,29,SHA_D20260600
supply_point,0,2025,30,SHA_D20260601
supply_point,0,2025,30,SHA_I20260600
supply_point,0,2025,30,SHA_I20260601
supply_point,0,2025,30,SHA_N20260800
supply_point,0,2025,30,SHA_N20260801
supply_point,0,2025,30,SHA_D20260800
supply_point,0,2025,31,SHA_D20260801
supply_point,0,2025,31,SHA_I20260800
supply_point,0,2025,31,SHA_I20260801
supply_point,0,2025,31,SHA_N20260700
supply_point,0,2025,31,SHA_N20260701
supply_point,0,2025,31,SHA_D20260700
supply_point,0,2025,32,SHA_D20260701
supply_point,0,2025,32,SHA_I20260700
supply_point,0,2025,32,SHA_I20260701
supply_point,0,2025,32,SHA_N20260900
supply_point,0,2025,32,SHA_N20260901
supply_point,0,2025,32,SHA_D20260900
supply_point,0,2025,33,SHA_D20260901
supply_point,0,2025,33,SHA_I20261000
supply_point,0,2025,33,SHA_I20261001
supply_point,0,2025,33,SHA_I20260900
supply_point,0,2025,33,SHA_I20260901
supply_point,0,2025,33,SHA_N20261000
supply_point,0,2025,34,SHA_N20261001
supply_point,0,2025,34,SHA_D20261000
supply_point,0,2025,34,SHA_D20261001
supply_point,0,2025,34,SHA_N20261100
supply_point,0,2025,34,SHA_N20261101
supply_point,0,2025,34,SHA_D20261100
supply_point,0,2025,35,SHA_D20261101
supply_point,0,2025,35,SHA_I20261100
supply_point,0,2025,35,SHA_I20261101
supply_point,0,2025,35,SHA_N20261200
supply_point,0,2025,35,SHA_N20261201
supply_point,0,2025,35,SHA_D20261200
supply_point,0,2025,36,SHA_D20261201
supply_point,0,2025,36,SHA_I20261200
supply_point,0,2025,36,SHA_I20261201
supply_point,0,2025,36,SHA_N20261300
supply_point,0,2025,36,SHA_N20261301
supply_point,0,2025,36,SHA_D20261300
supply_point,0,2025,37,SHA_D20261301
supply_point,0,2025,37,SHA_I20261300
supply_point,0,2025,37,SHA_I20261301
supply_point,0,2025,37,SHA_N20261400
supply_point,0,2025,37,SHA_N20261401
supply_point,0,2025,37,SHA_D20261400
supply_point,0,2025,38,SHA_D20261401
supply_point,0,2025,38,SHA_I20261400
supply_point,0,2025,38,SHA_I20261401
supply_point,0,2025,38,SHA_N20261500
supply_point,0,2025,38,SHA_N20261501
supply_point,0,2025,38,SHA_D20261500
supply_point,0,2025,39,SHA_D20261501
supply_point,0,2025,39,SHA_I20261500
supply_point,0,2025,39,SHA_I20261501
